rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth,Cluster ID,confidence_score
26, jacqueline, daykin,21, mackie crescent, logan central plaza, pottsville beach,2213, qld,19510605,1123,1.0
27, amelia, benger,51, macalister crescent, , sippy downs,4110, nsw,19420909,1124,1.0
28, rily, gloster,24, farrerplace, , frankston,3178, nsw,19590124,28,0.85714525
29, lily, thorpe,313, rivett place, thurlgona, mount gravatt,6104, wa,19310318,29,0.857141098417524
30, lary, slape,11, lamington street, rosehe ll, albany creek,6020, wa,19010927,30,0.8571435457378191
31, joshua, linnell,2, lambrigg treet, craigie ela garden, rowville,3185, qld,19480511,31,0.8571461834666809
32, joshua, linnell,2, lambrigg street, craigie lea garden, balwyn north,3185, qld,19480511,31,0.8571470375119206
33, sophie, grubb,36, furphy place, mid city centre, cottles bridge,5091, qld,19230322,1125,1.0
34, john, slywka,33, gowrie court, boxwood vale, north ward,6014, tas,19590803,32,0.85714096
35, alexandra, robson,4, brunswick circuit, keith payne hstl, mount sophia,5024, nsw,19470726,1126,1.0
36, stella, chandler,50, ebden street, rosetta village, coffs harbour,6304, vic,19741215,33,0.8571462877772762
37, thomas, white,706, monaro crescent, birra billa, point lofsdale,2088, wa,19310818,34,0.8571424935283776
38, hannah, bloomfield,7, ferguson circuit, crown allotment, oakden,7253, nsw,19130806,1127,1.0
39, , kochiwama,44, antares crescent, telopea p ark, benowa,7017, nsw,19000626,1128,1.0
40, lauren, bradshaw,130, ashcroft crescent, upa cottages, stirling north,2198, vic,19301022,37,0.8571404030402549
41, willow, froscio,378, yandastreet, , keilor,5022, vic,19091226,38,0.85714555
42, sophie, nicolle,112, garling street, spring creek, kotara,4740, nt,19111001,39,0.8571445705737961
43, andrew, klander,20, newman morois circuit, the willows, homebush,2285, vic,19761017,17,0.85714716
44, angus, stanley,6, lazar place, koobeja, floradhill,7008, qld,19971003,40,0.85714734
45, jack, stubbs,150, heard street, summerset, st agnes,5344, qld,19890526,41,0.8571425081966715
46, matthew, leong,5, kavelstreet, glen-mwria, minchinbfry,6153, nsw,19170916,43,0.8571439408073059
47, stella, chandler,50, ebden street, rosetta vlilage, coffs harbour,6304, vic,19741215,33,0.8571459057400925
48, katel byn, colegte,55, fiveas hstreet, retirement village, londonderry,2195, nsw,19280828,44,0.8571442537344074
49, ebiny, morby, , condavale, macgillivray street, armidale,2111, nsw,19840906,45,0.8571426
50, charlie, ebert,21, brewster place, summerdale medical centre, franskton,4570, vic,19711020,46,0.8571463692699817
51, charlotte, hylnand,25, madsen place, leisure lvikng vlge, clarinda,3108, qld,19820410,47,0.8571464898792711
52, cheree, purtell,1, spring rsnge road, guest village (cnrubullcreek d drive, cooma,6111, wa,19300407,48,0.857144534065518
53, laura, ryan,3, officer crescent, craigie-lea, orange,2289, vic,19120402,49,0.8571383175496179
54, feilcity, godfrey,16, stuckey place, oaklands village, slacks creek,6050, nsw,19361030,346,0.8571447752811
55, matthew, paine,7, mcintyre street, urunga, moulyinning,7000, nws,19250117,558,0.8571409272892101
56, mikhayla, campbell,9, baynton street, st francis vlge, notting hill,4350, qld,19280711,1129,1.0
57, charlie, roussonuis,13, gledden street, woorabinda, craigmore,6026, nsw,19461111,51,0.8571444362755333
58, dale, fimeri,37, burdett crescent, star court arcade, wilson,6618, nsw,19930529,52,0.8571445362386296
59, jaime, ,342, elliott street, kildarra, bedfordale,2081, qld,19631110,239,0.857137203261912
60, riley, gloster,24, farrer place, , frankston,3178, nsw,19590124,28,0.85714525
61, charlie, goode,7, tauss place, grahdview, ,2575, vic,19761213,53,0.8571452642328535
62, chloe, pantazopoulos,147, allott place, wyoming park, aldgate,2325, nsw,19860807,54,0.8571452511941184
63, corey, condo,5, andamooka street, coolinda, hillston,2026, nsw,19900616,56,0.857146232362263
64, emiily, berry,3, tenison-woods circuit, , ashfield,6169, nsw,19780527,57,0.8571387808686272
65, emmet, weller,11, copland drive, , birmingham gardens,4365, wa,19270516,59,0.8571446144706667
66, liam, tuttleby,5, verco street, rose-lea, trevallyn,2259, qld,19080101,1130,1.0
67, karfissa, creten,185, beattie cescent, birrabilla, moranbah,2525, nsw,19360703,60,0.8571443754284653
68, isabelle, kaminskas,106, isis close, westholme, port augusta,2765, qls,19060622,61,0.857146761522188
69, jayden, browne,80, kincumber nautical vlge, chaseling street, sussex inlet,2630, nsw,19430306,63,0.8571401841057683
70, melissa, lanzotti,24, balfour crescent, killara lodge, cranbourne,2064, vic,19810828,64,0.8571469
71, bailee, dent,58, maddoc k place, jingara, nowra,4171, qld,19950112,65,0.8571436822083435
72, quinn, godfrey,21, duffy street, ardersidr, highotn,3165, vic,19450122,68,0.8571468614869114
73, charlie, stanley, , amagula avenue, , klemzig,3356, vic,19510717,69,0.857145013237411
74, jazz, stephenson,210, julia flynn avenue, , ingleubrn,3172, sa,19401214,70,0.857137121774435
75, aleisha, mcelwee,34, osburn drive, parraweena, condell park,5237, act,19440525,71,0.8571466202678069
76, amber, blackwell,25, thomson street, , salisbury,3188, nsw,19860325,72,0.8571460639442176
77, shakiroh, evans-zijlstra,1, ashkanasycrescent, townview, robina,2340, vic,19510905,73,0.857144387380566
78, , shelley,90, cromwell circuit, wombat hill, noble apark,2026, vic,19780711,74,0.8571419719900153
79, aiden, ryan,292, honey patch, gundulu place, mosman,3076, wa,19360524,76,0.8571404617125812
80, william, lazavroff,431, leahy lose, millwood, forbes,7256, qld,19780204,77,0.8571424609321742
81, jamie, van galen,64, callister crescent, mowbray, hackham,3060, nsw,19720909,1131,1.0
82, isabella, hendricks,86, colborne place, dog rock shopping centre, north ryde,2000, nsw,19770129,78,0.8571459210606767
83, lucas, benger,19, cunningham street, padicam, melton south,2232, nsw,19851030,79,0.8571469
84, harrison, doman,20, harry hopman circuit, moline village, toowong,2088, sa,19570519,80,0.85714585
85, clarke, isabella,59, gillespie street, , mount victoria,2147, act,19950110,1132,1.0
86, emmerson, loyck,5, burnie treet, gordale, thursday island,3147, vic,19211129,81,0.8571433236475313
87, sarah, behnke,3, pearson street, broombie stud, ramornie,2209, vic,19930910,1133,1.0
88, angus, rees,5, heatonnplace, pangani, new farm,6210, nsw,19220723,82,0.8571419646558955
89, jordan, vaile,12, mullan street, rosewynne, mansfield,4153, qld,19940914,83,0.8571420029563024
90, tate, hingston,159, oxley street, wylarah, kurri kurri,5045, nsw,19680521,84,0.8571455478256375
91, charlotte, bovill,28, vickery street, cashbar, scarborough,3911, vic,19730412,1134,1.0
92, emma, matthews,39, vanzetti crescent, sunny brees, moorabbin,5158, qld,19910426,85,0.8571396468213166
93, sophie, nguyen,26, namoi place, , mount colah,2550, nsw,19701117,86,0.8571447133473307
94, kai, white,8, cockcrofqt avenue, allunga, parramaxta,4197, ,19551009,240,0.8571381316791814
95, blade, stingle,34, earle place, upper warrell, kellyville,5046, ,19220925,1135,1.0
96, rosie, rundle,8, sturt avneue, talonmane, bundaberg,2263, nt,19751109,88,0.8571399028053251
97, wanders, harry,120, morehead street, carrington trrmnt vlge, trevallyn,7205, sa,19121013,1136,1.0
98, harrison, matthiessen,3, harbison crescent, oakdale, port kembla,2619, wa,19580430,1137,1.0
99, lauren, sounness,18, leist street, moondani, seaforth,832, qld,19900129,92,0.8571426565095063
100, tommy, spinato,29, howie court, , ballarat,3356, nsw,19821129,93,0.8571449925927839
101, connor, mayman,40, marenghoplace, wilga, toowoomba,2025, nsw,19651018,94,0.8571425684996736
102, amber, pamplin,58, milton, sturt acenue, thornlie,5040, wa,19370407,95,0.8571384842511587
103, nathab, priest,363, banks street, manresa, malvern east,4750, act,19710428,96,0.8571452294628958
104, casey, vitkunas,22, jones place, karinga park, emmaville,2346, tas,19551192,97,0.8571467995522376
105, silas, webbm,20, jacka crvscent, shopping centre, nambour,4306, vic,19580212,146,0.8571463529714369
106, nicholas, fittock,10, fortitudey street, , st kilda east,2298, nt,19651025,1138,1.0
107, jayden, liberts,3, odern place, peppertree, corryong,2614, qld,19341218,1139,1.0
108, ashleigh, quilliam,57, bedford street, rosall, surrey hills,6525, nsw,19460730,27,0.857142606528607
109, joel, ryan,26, lance hill avenue, cameroo, forest hill,3070, nsw,19720615,98,0.8571379676167089
110, danjel, vincent,7, forbes street, villa 3, toukley,3178, qld,19510703,1140,1.0
111, jasper, jennion,16, fitzhardinge crescent, lords house, glenside,4034, nsw,19720414,1141,1.0
112, chloe, crosthwaite,42, ashkanasy crescent, , canterbury,4215, nsw,19550722,104,0.8571453076953126
113, natqlee, coleman,293, minns place, , waterman,3910, vic,19110405,105,0.8571460835024319
114, sophie, laundy,15, la perouse street, k mart plaza, eight mile plains,3981, vic,19021029,1142,1.0
115, reuven, edgecombe,6, ashburton circuit, north vaenue, palmerston,4231, vic,19540701,106,0.8571431030787515
116, amber, pamplin,14, andrea palce, milton, seven hills,5054, wa,19691006,95,0.8571419426535389
117, ayla, benjamin,3, bradfield street, concept, tatura,2030, wa, ,107,0.8571429563952688
118, , kempton,8, homburg street, yellow dam, blacktown,3122, vic,19021108,108,0.8571473
119, dylan, wilkins,18, denovan circuit, two tree hill, brighton-le-sands,2320, nsw, ,1143,1.0
120, sienna, slape,52, rene street, , burleigh waters,4034, vic,19400331,1144,1.0
121, michael, laverty,6, hytten place, sennockke, suffolk park,2208, vic,19631213,109,0.8571414743572696
122, jake, grosser,3, lexcen a venue, horseshoe bend, bomaderry,2161, vic,19670227,110,0.8571462502906473
123, madison, maynard,257, holmes crescent, glenview, embleton,2154, nsw,19400506,1145,1.0
124, byron, wisowaty,58, pera place, john flynn medical centre, caulfield,6101, ,19320304,1146,1.0
125, layla, thrussell,27, markell p lace, , frenchs forest,6728, qld,19250608,1147,1.0
126, jack, mcneeley,39, keverstone circuit, royal queensland yacht squadron, brighton-le-sands,4702, wa,19880329,113,0.85714513
127, grace, timmermans,18, cussen street, hallsville, preston,2251, wa,19501207,114,0.8571458588004407
128, carly, benger,61, gellibrand street, gradnview, carnegie,4011, nsw,19710126,115,0.8571428238369918
129, brydee, westermann,13, burkitt street, mlc centre, banks,3352, vic,19910126,117,0.8571428416562941
130, isaac, clarke,1, armytage circuit, oaklands village, annangrove,3636, vic,19570425,118,0.8571384842511587
131, madison, dixson,37, , white lodge, ringwoid,5047, sa,19940413,781,0.8571439994810852
132, fraser, tadege,1, mcinneswstreet, , scarborojgh,2870, nsw,19001013,120,0.857146085675567
133, lara, chandler,42, dempster place, henry kendall bayside, kingaroy,2219, nsw,19360624,121,0.8571387163298289
134, hollv, shepherd,3, stillwell place, elstoh, albion park rail,6201, vic,19800323,124,0.8571423379979881
135, alexa-rose, white,22, warrego circuit, burnisde, bayswater,3040, nt,19160822,23,0.85714203196683
136, oliver, cureton,164, drevermann street, burraminga, toronto,3149, qld,19920126,125,0.857137
137, benjamin, muog,302, peat place, arlnigton, frankston,4518, nsw,19101008,126,0.8571408680734286
138, isabella, runlde,8, fawkner street, emerald agrigulural college, pottsville,6154, nsw, ,128,0.857144385750734
139, charlie, ebert,21, brewster place, summerdale medical centre, frankston,4570, vic,19711020,46,0.8571464719508568
140, haryr, clarke, , hyndes crescent, royal brisbane hospital, homebush,4805, nsw,19971021,129,0.8571415976011506
141, hayden, ngai,40, hinkler street, berajondo, nightcliff,2263, vic,19970624,130,0.8571433410322772
142, samuel, wasley,12, earle street, university shores, northbridge,2530, nsw,19461003,131,0.8571364894331933
143, amber, black well,25, thomso n street, warrina lakes, salisbury,3188, nsw,19860325,72,0.8571441972336301
144, micaela, blackwell, , lewin street, rosedina, dulwich hill,4103, nsw,19791204,1148,1.0
145, callie, bullock,7, warramoo crescent, kanangra hstl, noble park,2650, tas,19351013,1149,1.0
146, sian, beelitz,3, ashkanasy crescent, miowera, sylvania,5042, nsw,19510904,132,0.8571470961869718
147, daniel, clarke,3, goldsborough close, , wilson,2206, wa,19630507,134,0.8571382903093008
148, riley, faull,32, turner place, margaret river carvn park, long jetty,2033, nsw,19640728,135,0.85714686
149, riley, wegemer,45, phillip avenue, walhalla, cremorne,3937, wa,19540621,136,0.8571468908243979
150, alexandra, knapman,16, mceacherncxrescent, villa 306, chelsea heights,3429, sa,19151113,1150,1.0
151, niocla, collier, , schaff eyr place, mt styrt, sheidow park,2098, nsw,19420623,137,0.8571423892205527
152, emiily, vodden,41, clement place, arcadia, st johns park,2170, nsw,19811218,138,0.8571445949126535
153, cassandra, rafanelli,3025, , berragoon, st slbans,3020, wa,19270701,1151,1.0
154, dominxic, flockhart,2, oxley street, clear creek, northgate,3000, wa,19890621,140,0.8571452805312741
155, samantha, sabieray,68, quandong street, wattle brae, gorokan,4019, wa,19590807,1152,1.0
156, dominic, flockhdart,26, oxley street, clear creek, northgate,3001, wa,19890621,140,0.8571432986569628
157, harrison, paulka,211, bourne street, tally ho, ballina,3976, vic,19260122,1153,1.0
158, toby, maczkowiack,8, kanooka street, carinya vlge, canley vale,3219, nsw,19000328,143,0.8571457249355927
159, ruby, jeffries,73, forbes street, underwood, st albans,4165, nsw,19490705,144,0.8571454011396444
160, charlotte, mccraken,5, , flr 5 john flynnmedical centre, bligh park,4814, nsw,19570529,145,0.857144097270771
161, sma, webb,5, deamer cerescent, belaradah, west lakes shore,2570, wa,19361215,147,0.8571393882301269
162, jonah, nguyen,8, dalley crescent, the palms village, kingary,2607, nsw,19591019,150,0.8571431443674628
163, eliza, white,82, summerland circuit, rsd shee oak ridge, thornlie,2345, qld,19420103,152,0.8571374
164, barnaby, egan,13, britten-jones drive, rawdon, kaleen,4304, vic,19270529,153,0.8571457564459758
165, kate, rawlings,70, corin place, oxfodrd, kuraby,4216, qld,19330925,1154,1.0
166, mackinley, rees,93, oman place, locn 2192, parmelia,3084, wa,19710708,154,0.8571472200566035
167, hayden, covino,10, glengariffe, deamer cf escent, north ryde,2705, qld,19541104,156,0.8571391700577561
168, jessica, ryan,37, mccrae street, cherry haven, junortoun,6065, vic,19980225,1155,1.0
169, bradley, clarke,40, sharwood csrescent, lynd hurat, ringwood,3959, wa,19510302,157,0.8571465909303759
170, locylan, grosser,5, yapunyah street, youralla, gingin,5276, nsw,19530210,158,0.8571467
171, danielle, morrison,95, london circuit, sec 552, bibra lake,4701, vic,19030709,159,0.8571435822458447
172, alessandria, rabbitt,19, ellenborough street, inglemer, mirrabooka,2186, vic,19900410,160,0.8571453
173, phoebe, pettman-south,108, kernot street, surfrider carvn park, ballina,3175, vic,19720328,1156,1.0
174, laura, braunak,87, durville crescent, , graceyville,2536, nsw,19550419,161,0.8571450099777329
175, joshu a, hohn,97, somme rlad place, coralyn, eight mile plains,3178, vic,19260422,162,0.8571443417452783
176, millane, mccarthy,3, alfred hill drive, hold fast shores, mortlake,2032, wa,19630818,163,0.857146232362263
177, emma, thackeray,71, kinkead street, warrah lea, newcomb,4161, ,19670913,164,0.85714614
178, , ,1, amaroo wallaroo road, parkside flats, chester hill,4811, nsw,19250804,165,0.857138789343421
179, malakai, schoppe,31, boddington crescent, broadwater caravn park, trafalgar,2747, vic,19141221,172,0.8571471
180, anastasia, kromwyk,17, dyson street, , talwood,4115, vic, ,1157,1.0
181, jared, wytkin,61, belfield crescent, rowethorpe, bundaberg,5081, ,19831025,173,0.857146578978091
182, brinaa, morrison,4, coolac vplace, esk farm, seaton,2566, vic,19131203,174,0.8571434029654517
183, lily, petersen,13, bissenberger crescent, , melville,2250, ,19020326,175,0.8571412461856297
184, sophie, lovelock,7, calder crescent, , pitt town,3810, nsw,19470413,177,0.8571437995557137
185, joshua, eyles,27, harcourt street, belmore river, underdale,2112, vic,19861219,178,0.8571387841281631
186, abbey, herno,1, drosera place, quandialla, yarra junction,800, vic,19760613,179,0.8571382756414399
187, alexandra, heron,327, tullaroop street, vinery, elsternwick,6208, nsw,19400609,181,0.8571421306243989
188, jaiden, rollins,48, tulgeywood, rossarden street, balwyn north,2224, nt,19280722,182,0.8571427624473396
189, timothy, neville,21, fihelly street, villa2, st lucia,3108, wa,19781123,183,0.8571457053774273
190, jarod, mccarthy,63, henty street, moriah ifelds, ,2166, nsw,19400529,184,0.8571392032119879
191, erin, humphreys,11, endeavour street, lake macquzrie vlge, umina beach,4873, nsw,19670519,185,0.857142994579526
192, ruby, reid,7, fitzmaurice street, , eaglwhawk,2260, qld,19120626,186,0.8571400527452375
193, charlie, primvaera,6, chauvel street, st francis vlge, dover yeights,2533, nsw,19250314,187,0.857144120088374
194, christian, ferris,3, coombe street, warraview, plumpton,5008, nsw,19930222,188,0.8571408376506513
195, eliza, mason,57, kennedy sreet, brentwodo vlge, bundamba,4067, tas,19071124,190,0.8571437726092721
196, kylie, dixon,4, sanford xplace, white lofdge, phillip,5047, sa,19000404,1158,1.0
197, lauren, paine,27, mcvey pace, yambira, helid on,2776, qld,19440502,191,0.857142966174163
198, alexandra, grosvenor,16, anembo street, glenlee, frankston,4818, nsw,19930305,676,0.8571435366108142
199, harrison, schumann,24, monaro crescent, donnelly rvr villg, oakleigh,2280, nsw,19991013,192,0.8571459063920321
200, beams, emiily,1, tarrabo ol street, , andergrove,2075, qld,19011124,58,0.8571389340669014
201, ryan, fey,82, kitchener street, un t 1, slacks creek,3450, qld,19870928,99,0.8571427184423839
202, georgia, byersi,17, hilder street, , palmerston,4740, nse,19550530,1159,1.0
203, anika, spicer,3, melrose drive, rmbe 770, view bank,2067, nsw,19861012,193,0.8571468614869114
204, liam, kothe,8, beaurepaire crescent, , allawah,4570, qld,19740720,1160,1.0
205, jaco b, ,24, downward place, banksia village, bunbury,4671, qld,19470530,194,0.8571380344368322
206, pia, campbell,28, euree street, ursula, corowa,3199, vic,19150704,196,0.8571371934834123
207, lucinda, mcneill,7, ashburton circuit, malekula, vaucluse,3223, qld,19090228,197,0.8571457271087224
208, olivia, wheatley,5, crisp circuit, stanhope sth, lake clarendon,4575, qld,19421007,198,0.857145309868436
209, thomas, finlay,2, vicke ry street, brindabella court, page,2160, qld,19520829,199,0.857147
210, erin, humphreys,11, endeavour street, lake macquaire vlge, elanora heights,4874, nsw,19670519,185,0.8571415109889411
211, dominic, ,2, oxley street, clear creek, northgate,3000, wa,19890621,141,0.857139827183516
212, isabella, gilbertson,67, boswell c rescent, , morwell,4704, qld,19111011,200,0.8571449545632153
213, holly, shepherd,44, castlereaghcrescent, dalkeith cottage, eaton,6060, vic,19980816,124,0.8571422187891815
214, lachlan, goldsworthy,61, ashkanasy crescent, mcivor ridge, rowville,3158, vic,19450818,1161,1.0
215, andrea, brokenshire,3, sturdee crescent, , birmingham gardens,2455, nsw,19450619,201,0.8571473667444642
216, jed, hearn,560, gairdner circuit, hd curramulka, alice springs,3056, qld,19060312,1162,1.0
217, jordhau, ryan,16, carnegie crescent, tahmoor, millrbook,6004, vic,19900903,202,0.8571416547217763
218, joshua, morrison,17, beasley street, , tingalpa,5097, vic,19101123,203,0.8571426630287553
219, flynn, crea,45, , , lismore,2068, nsw,19610318,204,0.8571419133170686
220, jacob, marampon,39, lowanna street, glenveagh, keysborough,3806, vic, ,205,0.8571456065000769
221, olivia, philps,84, ennor crescent, yarawee, king river,2540, nsw,19770302,1163,1.0
222, madison, fenwick,63, terry close, llandina, glenside,4551, sa,19210711,1164,1.0
223, juliana, petersen,25, currong street, admiralty quays, glenside,5280, nsw,19610510,206,0.8571464225119078
224, loan, green,11, marlock street, kersley mews, an ula,6233, nsw,19440514,207,0.8571390764001972
225, ebpony, ,90, david street, , long jetty,6630, nsw,19410614,1165,1.0
226, timothy, neville,21, fihelly street, villa 2, st lucia,3108, wa,19781123,183,0.8571458661890886
227, charlei, ebert,21, brewste r place, summerdale medical centre, frankston,4570, vic,19711020,46,0.8571449659720848
228, bianca, marlow,34, dietricho place, , alice springs,5065, wa,19980201,1166,1.0
229, kayne, priest,48, temperley street, sunrest squd, north nrarabeen,3995, wa,19831118,1167,1.0
230, madison, boxhall,10, yanda street, kookaburra village, dapto,4703, sa,19170926,210,0.8571437604399129
231, erin, birchby,24, burrowes place, elston, creswick,4721, vic,19461022,1168,1.0
232, jasmine, sach,17, goble s treet, ren own, gawler west,2031, nsw,19791109,211,0.8571453294265472
233, jack, brock,1, duhig place, , boyanup,2484, nsw,19800422,212,0.857140853948567
234, hugo, walkington,51, oxley street, karoo, oak park,6026, nsw,19150227,1169,1.0
235, , whiteley,17, mcluckie crescent, kintrye, malvern east,4810, vic,19800908,22,0.8571385736554171
236, cameron, unyland,25, chewings street, underwood, broken hill,6109, qld,19980904,1170,1.0
237, jared, wytkon,61, belfield crescent, rowethorpe, bundaberg,5081, ,19831025,173,0.857145983538253
238, danielle, millar,6, stanfield close, rosetta village, blackburn north,3102, qld,19991007,1171,1.0
239, charlotte, carbone,12, peppin place, , albury,4559, sa,19171126,1172,1.0
240, matthew, seddon,195, collingriddge street, port 366, paralowie,3830, nsw,19920305,215,0.8571445210268496
241, any, miteff,68, john clelad crescent, barkom, blackheath,2036, qld,19160228,216,0.8571452707522216
242, jessica, wasley,53, eyre street, milmilland, cronulla,2564, wa,19931004,217,0.8571391263798613
243, keely, dixon,2, lacey place, briars meadows, barrington,5087, nsw,19380328,1173,1.0
244, matthew, brookhouse,3, goodparla street, timdoolin, highett,2170, nsw,19101115,219,0.8571462
245, , rundle,101, eaglemont retreat, laalgarths, prospect,6168, qld,19070103,88,0.8571390866134314
246, , frgh,62, matina street, sun city r esort, ascot park,4107, wa,19760203,220,0.8571426304325132
247, olivia, cecotti,4, dobell circuit, , cabramatta,6152, vic,19580919,223,0.8571453
248, brianna, morrison,4, burston place, esk f airm, seaton,2566, vic,19131203,174,0.8571429857319534
249, sarah, greenw,37, kelleway avenue, allandale, marlesgon,6014, qld,19140908,119,0.8571442961100051
250, jenna, pasalic,679, tarana street, mallanganee, osborne,4342, vic,19541124,224,0.857145875424899
251, kylie, koziol,16, wolff crescent, brentwood vlge, kurrajong heights,3135, vic,19320709,225,0.8571433
252, samuel, walls,74, shoalhaven avenue, clearc reek, racevieh,3223, nsw,19370409,131,0.8571416166930963
253, christopher, behnke,378, troughton street, , geranium,3496, qld,19080930,1174,1.0
254, alexandra, clarke,184, sadlier srreet, yakatoon, westbrook,2756, qld,19190129,226,0.8571446253362309
255, zachary, ebert,64, costello circuit, foxlea, mosman,2280, nsw,19390217,166,0.8571438169405176
256, zarlia, lowe,48, van raalte place, hd blanche sec 28, cabramatta,3192, wa,19730726,227,0.85713678604652
257, jasmine, morrison,16, methven place, armidale, point lonsdale,3211, wa,19760810,1175,1.0
258, joshua, felmingham,46, fullagar crescent, mariner views, evandsle,2229, nsw,19810315,230,0.8571466
259, holly, stoker,5, ballumbir street, chetwynd, kirrawee,6009, vic,19300121,231,0.857145823595712
260, nicilas, fogg,48, wilshire street, safar i lodge, lemonhrove,2011, ,19901127,232,0.8571434909757983
261, grayson, stanley,9, eaglemont retreat, , brighton-le-sands,4107, tas,19710422,233,0.857145846087621
262, liam, grubb,63, rowellsplace, , kotara south,3002, qld,19660416,234,0.8571453
263, toby, garran,8, mcguiness place, the tops, miami,3125, qld,19520817,235,0.8571471
264, christian, walch,3, coombe street, warraview, plumpotn,5008, nsw,19930222,189,0.8571466235275217
265, nataoia, georfe,22, woollum s treet, glenview, morwell,6065, wa,19540306,236,0.8571419133170686
266, connor, moerland,38, arthur circle, red cross units, greenwood,2680, wa,19351222,237,0.8571468006388105
267, jessica, mac kinder,15, wright place, , lavender bay,4727, sa,19191217,238,0.8571494823261404
268, hayley, white,1, hallenc lose, chelsez house, oran ge,2176, sa,19810909,241,0.8571378803505639
269, amber, white,31, moodie street, degafelga, eaton,2042, nsw,19120819,247,0.8571398543465175
270, jaxin, helling,13, donald place, the mount, riverhills,4214, vic,19141026,1176,1.0
271, benjamin, presley,85, namatjira drive, guest village (cnr bullcreek d drive, sunnybank,2320, wa,19831208,1177,1.0
272, keeley, felmingham,32, angliss place, cranbrook, annandale,2670, nsw,19860811,248,0.8571451707886113
273, kaysey, kon,1, ohiostation, gaylard place, ,5009, vic,19600828,250,0.8571421512686126
274, spyke, karlsen,4, northam street, aptmt 206, southbank,2329, aw,19110129,251,0.8571467006741298
275, keziah, parr,20, clift crescent, brookvale, murphys creek,2761, nsw,19550103,20,0.85714626
276, kyle, malin,318, namadgi circuit, old hillside, mooroolbark,3912, wa,19091113,252,0.8571366
277, roisin, bishop,32, manning street, rosehlen, mount colah,2902, vic,19481220,253,0.8571447133473307
278, , blyde, , torrens street, moorillyah, port augusta,3620, vic,19650621,1178,1.0
279, mikhayla, hannaan,20, , brentwoodvlge, penshurst,2257, vic,19770501,256,0.8571426597691307
280, oliver, campbell,124, moon place, , thornbury,4103, vic,19681119,1179,1.0
281, lee, zogopoulos,61, woronorastreet, tourist park, coombabah,6107, nsw,19200609,257,0.8571482012382711
282, joshua, clarke,25, kingsford smith drive, , taigum,6108, vic,19961109,258,0.8571472
283, vincen, luke, , du faur sctreet, ehwk, rose bay,4122, vic,19731223,1180,1.0
284, lachlq-njohn, rivers,5, perier place, oakdale, corio,4313, nsw,19960904,259,0.8571445966511434
285, hana, weaver,8, colvin street, , albury,6085, ,19181111,260,0.8571415531308967
286, daniel, kluske,40, hawkesbury crescent, tritonu nits, oakhurst,3175, nsw,19820727,134,0.8571416721063191
